VINTA,IDD1,IDD2,IDD3,IDD4,IDD5
1.32,-4.50414e-08,-4.4992e-08,3.86678e-08,0.0074318,0.0018076
1.36,4.78088e-08,4.150119999999999e-08,-2.60446e-08,0.0082578,0.0021272
1.4,-4.79324e-08,-3.31176e-08,4.82102e-08,0.0090552,0.0024738
1.44,4.59436e-08,2.57142e-08,4.062e-08,0.009791,0.002838
1.48,-3.69612e-08,-1.5078799999999998e-08,-1.56452e-08,0.0105672,0.00323
1.52,3.4519e-08,3.847e-09,-1.59616e-08,0.0113528,0.003646
1.56,-3.27922e-08,6.2969999999999984e-09,-3.2448e-09,0.01223,0.0040794
1.6,3.5915599999999994e-08,-1.5701999999999997e-08,4.974279999999999e-08,0.013166,0.0045336
1.64,-1.24756e-08,2.67928e-08,1.0534e-07,0.01399,0.0050222
1.68,1.46704e-08,-3.7656e-08,3.01532e-08,0.014768,0.0054962
1.72,-1.6304599999999998e-08,3.65136e-08,5.0642e-08,0.015022,0.0059844
1.76,-1.7733999999999999e-09,-4.18124e-08,3.704e-08,0.015258,0.0065256
1.8,2.8517999999999996e-09,4.19628e-08,1.45916e-08,0.015652,0.007107
1.84,1.2157999999999999e-09,-4.10118e-08,-6.326e-08,0.01611,0.0077108
1.88,1.85808e-08,4.26702e-08,6.789999999999999e-08,0.016162,0.0083328
1.92,-1.7145999999999997e-08,-4.1961e-08,1.22818e-08,0.016812,0.009021
1.96,1.49078e-08,4.2056e-08,6.593599999999998e-09,0.017474,0.0099146
2.0,-3.8342e-08,-4.22056e-08,7.1033999999999984e-09,0.018124,0.0106332
